snapshot,country,status,value,unit
2040-03-24 08:00:00,XY,stateOfCharge,0.0,MW
2040-03-25 09:00:00,XY,stateOfCharge,0.0,MW
2040-03-26 10:00:00,XY,stateOfCharge,0.0,MW
2040-03-27 11:00:00,XY,stateOfCharge,0.0,MW
2040-03-28 12:00:00,XY,stateOfCharge,0.0,MW
2040-03-29 13:00:00,XY,stateOfCharge,0.0,MW
2040-03-30 14:00:00,XY,stateOfCharge,0.0,MW
2040-03-31 15:00:00,XY,stateOfCharge,0.0,MW
2040-04-01 16:00:00,XY,stateOfCharge,0.0,MW
2040-04-02 17:00:00,XY,stateOfCharge,0.0,MW
2040-04-03 18:00:00,XY,stateOfCharge,0.0,MW
2040-04-04 19:00:00,XY,stateOfCharge,0.0,MW
2040-04-05 20:00:00,XY,stateOfCharge,0.0,MW
2040-04-06 21:00:00,XY,stateOfCharge,0.0,MW
2040-04-07 22:00:00,XY,stateOfCharge,0.0,MW
2040-04-08 23:00:00,XY,stateOfCharge,0.0,MW
2040-04-10 00:00:00,XY,stateOfCharge,0.0,MW
2040-04-11 01:00:00,XY,stateOfCharge,0.0,MW
2040-04-12 02:00:00,XY,stateOfCharge,0.0,MW
2040-04-13 03:00:00,XY,stateOfCharge,0.0,MW
2040-04-14 04:00:00,XY,stateOfCharge,0.0,MW
2040-04-15 05:00:00,XY,stateOfCharge,0.0,MW
2040-04-16 06:00:00,XY,stateOfCharge,0.0,MW
2040-04-17 07:00:00,XY,stateOfCharge,0.0,MW
2040-04-18 08:00:00,XY,stateOfCharge,0.0,MW
2040-04-19 09:00:00,XY,stateOfCharge,0.0,MW
2040-04-20 10:00:00,XY,stateOfCharge,0.0,MW
2040-04-21 11:00:00,XY,stateOfCharge,0.0,MW
2040-04-22 12:00:00,XY,stateOfCharge,0.0,MW
2040-04-23 13:00:00,XY,stateOfCharge,0.0,MW
2040-04-24 14:00:00,XY,stateOfCharge,0.0,MW
2040-04-25 15:00:00,XY,stateOfCharge,0.0,MW
2040-04-26 16:00:00,XY,stateOfCharge,0.0,MW
2040-04-27 17:00:00,XY,stateOfCharge,0.0,MW
2040-04-28 18:00:00,XY,stateOfCharge,0.0,MW
2040-04-29 19:00:00,XY,stateOfCharge,0.0,MW
2040-04-30 20:00:00,XY,stateOfCharge,0.0,MW
2040-05-01 21:00:00,XY,stateOfCharge,0.0,MW
2040-05-02 22:00:00,XY,stateOfCharge,0.0,MW
